model,accuracy,precision_spam,recall_spam,f1_spam,macro_f1
TF-IDF(char_wb) + LinearSVC,0.9919282511210762,1.0,0.9395973154362416,0.9688581314878892,0.9821106731628009
TF-IDF(char_wb) + LogisticRegression,0.9901345291479821,0.9928571428571429,0.9328859060402684,0.9619377162629758,0.9781352671989789
TF-IDF(word) + LinearSVC,0.9883408071748879,0.9788732394366197,0.9328859060402684,0.9553264604810997,0.9743109868161043
TF-IDF(word) + LogisticRegression,0.9829596412556054,0.9452054794520548,0.9261744966442953,0.9355932203389831,0.9628870494459774
